word,sim
fotbal,0.7590686082839966
hokejbal,0.6858253479003906
hokeje,0.6773400902748108
hokeji,0.6702491044998169
Hokej,0.656783401966095
hokejem,0.632020115852356
basketbal,0.6317623853683472
hokejový,0.615271270275116
sport,0.5966423749923706
tenis,0.591896116733551
basketball,0.5728129148483276
florbal,0.5727317929267883
hokej70,0.5581719875335693
hokejista,0.5551169514656067
baseball,0.5533083081245422
nároïák,0.552670955657959
volejbal,0.5522791743278503
hokejisté,0.5493305921554565
hokej.cz,0.5393876433372498
bruslení,0.5356564521789551
hokejisty,0.5344415903091431
fotbalu,0.5328729748725891
Jágr,0.5307034254074097
basket,0.5289775729179382
sledge,0.5219656825065613
hokejoví,0.5185225009918213
extraligu,0.5178803205490112
extraligový,0.5176541209220886
hokejového,0.5176059007644653
hokejbalu,0.5143479108810425
